ip_address,country_code,country,city,latitude,longitude,mystery_value
9.197.69.209,GR,Wallis and Futuna,North Alvahhaven,-64.3701545266877,139.10168692783628,3788578721
41.80.34.244,UM,Mongolia,East Yasmeenmouth,-45.49213146468858,-171.92458302296777,1048151499
129.105.245.153,CD,Lesotho,Westfurt,-44.890838714581164,-139.46163648002593,8104869408
216.198.41.216,ES,Chile,North Daphneestad,-55.836565441768855,-65.15717242063772,3300835430
145.160.82.47,AZ,Benin,Lake Valentinbury,63.71364193547814,-111.36448234873919,8400336035
17.208.50.30,JP,Lesotho,Port Benedict,-45.51980887531106,-130.01370919533787,8499852634
not your IP address,HN,Benin,Fredyshire,-70.41275040993187,60.19866111663936,2040256925
33.173.188.44,GM,Bermuda,Lake Alexis,34.26394614136889,160.13364176192965,3771636519
126.66.88.240,KN,Greenland,Conroyland,-6.108848129845683,121.57864438237675,8552421013
140.11.174.94,AZ,Australia,New Maximus,-70.4649600396407,-78.52451047818955,9630706206
144.116.254.249,,,,0,0,8050339844
205.222.134.128,,,,0,0,3700534942
15.172.8.206,GG,Jamaica,New Enid,42.0799910769654,-111.77016670893731,8808351142
188.64.220.38,LK,Netherlands Antilles,Curtview,23.44478988290905,47.95169760037018,8323030949
177.167.63.123,GT,Liberia,South Generalfort,40.50759041215446,-114.05602155209212,4609126825
140.88.229.71,BR,Wallis and Futuna,Lefflerhaven,20.90269711103079,164.2032330982388,4915047767
24.156.224.58,AS,Morocco,Predovicview,24.321591219290298,11.906218635544803,5355058467
162.183.140.161,CX,Mali,North Caroletown,48.77025190772159,170.91396014830508,9601256298
161.99.119.249,GE,Heard Island and McDonald Islands,Hahnton,-61.751198869722835,-134.73475406514683,5297039834
73.206.101.72,BQ,"Virgin Islands, British",South Enricofort,-43.038736794081885,136.59876261752225,2331487783
136.60.115.189,FR,Serbia,Lake Randy,76.48824226082144,-130.9454939056723,1561966306
29.14.54.146,ZW,Russian Federation,East Joshbury,-56.25880673182158,171.49064310939434,3255636871
223.6.231.177,AW,Norfolk Island,Alicehaven,-69.57173678369345,-126.34379045228151,4545004184
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614893880432,174.57963021150817,3326541859
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614893880432,174.57963021150817,3326541859
12.88.188.189,VU,Mexico,New Craigmouth,63.359422375997326,-116.9352203783865,5397571113
175.28.22.203,TR,Svalbard & Jan Mayen Islands,North Makenzieton,-70.80407354077082,-138.8169917415103,5770179285
35.173.240.30,MH,Nauru,Schowalterland,-30.911054987315765,-134.83735168357487,5170189373
170.177.73.103,DO,Western Sahara,New Austen,-25.283384656832013,-45.78054557862666,1504542036
31.118.6.88,BH,Brunei Darussalam,West Braulio,-32.24882086363258,55.61179914162861,4820733579
20.207.74.18,IQ,Montserrat,Obieburgh,81.112534140109,-54.5555031586197,8215645555
50.140.44.135,MN,Bahrain,Shyannbury,46.6491657755204,-1.676775930368791,6021333631
113.108.19.77,FR,South Georgia and the South Sandwich Islands,New Juniusside,-58.93047101875369,-92.6179246925313,9758118741
194.128.31.61,GD,Swaziland,South Queenieborough,-16.689632240083213,-51.56362203239999,3837004855
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614893880432,174.57963021150817,3326541859
37.105.167.53,AI,South Georgia and the South Sandwich Islands,Lake Chrisberg,31.6716364275445,148.66617202003619,3463006367
219.51.132.171,GF,"Virgin Islands, British",Sophieport,-42.67018135176059,66.02629023323351,4474947333
110.222.222.29,SO,Tunisia,Doyleland,86.84252143520916,-60.12996946780291,7615098921
73.167.96.242,ET,Tuvalu,Murphyborough,-18.824466342569693,-21.197134163472242,2229613851
91.83.114.160,PY,Chad,East Emiliechester,-38.67180138947161,-92.40422051583539,3558901126
118.14.187.155,CO,Saudi Arabia,Beahanton,37.784333540738075,-33.066730784151076,4925272039
36.213.46.84,CA,Slovenia,Earlenechester,76.41075973992812,-52.3716426208224,5825849282
6.233.109.89,UA,Serbia,South Clifton,30.251975282797403,-123.96807632693692,4530976680
173.152.81.192,CA,Monaco,Margretport,42.266624410998105,-147.73476776752688,7679292261
160.195.122.139,OM,Andorra,North Nakiafort,-89.72156406413278,-75.65560075591304,3762996886
54.67.33.126,LU,Honduras,Emilioberg,-15.749877236936925,0.22890017550830066,7537449105
2.248.176.243,TG,Brunei Darussalam,South Carsonberg,76.86460649852808,-45.32669855785841,3346310788
140.254.183.19,AL,Aruba,Schummstad,-14.811845064142432,59.92718478727136,8370908129
8.68.239.55,BG,Saint Vincent and the Grenadines,Ornchester,-70.71631694900343,-83.02707271948287,5464935683
160.71.177.130,GG,San Marino,Kautzerchester,51.067556718590225,-30.580495853420814,7130200805
73.208.16.252,CI,Gibraltar,East Chadrickmouth,-23.392782881361583,150.89415485366044,3357653845
116.241.66.66,,,,0,0,3129669712
205.214.12.238,SZ,Poland,New Alexanne,22.89956117961289,-166.65193527439277,1484938067
91.230.72.67,GL,Dominica,Pinkhaven,-40.92366600956237,22.400664468510087,7904894686
213.253.119.110,AI,Kuwait,Audiebury,-17.10860894170017,168.4295400383972,6543596128
28.214.221.37,SI,Botswana,New Herman,-51.78950562311839,-51.72796821413178,4597858194
not your IP address,IM,Jersey,East Amaniview,-17.283117665632915,-59.0584610955414,6850709807
168.137.127.146,SS,Saint Martin,Johnstonland,-87.10678818562499,65.94612916952161,3494982814
220.42.168.221,IL,Panama,Lake Marlen,-66.73906760895734,138.76272449952484,5263090278
144.216.157.53,GR,Andorra,Lake Precious,-4.923856113293837,-87.52052148821348,3527696049
162.24.86.30,RE,Saint Helena,West Hayleyfurt,86.92366367695669,17.679179626162068,4223833326
122.26.195.159,PR,Tanzania,Port Lethaburgh,-40.472270476095254,32.09277727356789,2584745556
146.235.189.157,MC,Afghanistan,Port Rey,-22.014869454422637,158.11753992110494,8531136352
93.37.89.85,BL,Namibia,West Othaton,-79.40473801453363,45.143639442943424,2328262988
174.151.99.27,OM,Chad,South Jeanville,-62.19748106782555,-3.2886995526227167,6604300179
109.95.58.213,SE,Cape Verde,Oberbrunnerchester,-87.13172665304846,-50.19458671884584,9582893255
3.249.244.18,MF,Ireland,South Demetrisborough,-38.89037100912594,67.93709974575452,8801381475
217.233.129.151,JO,Botswana,West Alejandrin,50.02312615546026,-68.95640196270898,2633890545
89.166.4.226,AT,France,Stromanview,25.866848030989942,-20.32398265893866,7389942693
64.119.171.99,DM,Afghanistan,New Adaline,-65.40567725715599,138.12294722926413,8070552110
163.174.163.251,SG,Serbia,Lillyville,67.4834847169839,35.97878579814349,1231345522
20.208.76.59,ST,Vanuatu,West Sibylview,52.33422624443347,156.4828153297055,1954017205
147.190.40.8,GU,Guyana,South Alberto,61.69928230646619,-151.30741143910615,2410693318
123.114.52.115,KG,Western Sahara,South Catherineport,-22.45297194212864,159.3816642233591,3764081519
190.117.87.226,SI,Antarctica (the territory South of 60 deg S),West Kaydenberg,-21.13853275215432,103.81187426561058,7570398560
18.129.131.80,LK,Hong Kong,East Deonte,64.46359178725169,-18.392462599704004,6939269877
39.224.81.182,MQ,Uruguay,D'angeloville,-18.7283151429056,-138.13209319889322,3488177060
156.230.45.111,CG,Germany,Nienowside,38.02744939579105,28.878658661524383,3067089612
38.7.64.84,42,Antarctica (the territory South of 60 deg S),Katarinaton,-32.71017827546373,-6.494484373354879,0
106.79.14.91,TD,Guernsey,West Ronaldotown,73.18730522873784,160.5785624535295,1069355511
41.75.189.47,MH,Gambia,Johathanfurt,20.43424795256172,130.7324324519907,7301723287
78.54.145.117,RE,Democratic People's Republic of Korea,Pourosside,20.71827252854746,-54.33179962416274,7714654428
74.18.214.177,EE,Bouvet Island (Bouvetoya),Armstrongport,1.8540930700186067,86.83579550571369,6897087627
103.232.209.106,MX,Holy See (Vatican City State),North Braxtonstad,-3.1414118081034275,-158.59699628490435,5152165481
142.124.106.210,TW,Uruguay,New Jamaal,76.58506214502322,23.544612972215077,4702777837
120.254.146.141,FI,Thailand,New Bennett,-39.86252773095649,75.4207945648325,7774068175
116.188.170.251,,,,0,0,4360174366
45.231.249.173,TZ,Republic of Korea,Stoltenbergside,49.9906700167912,66.61953527289052,4731060364
37.237.12.43,CW,Egypt,Aimeeshire,-42.21106355927048,-85.56360547691156,1830355112
23.204.128.227,ZW,Guam,Port Lylaborough,-26.296000209614697,123.03447809901905,9397226187
194.154.183.247,SE,Bulgaria,Creminport,37.417236547868214,94.02948933137577,3865421786
104.164.34.172,SR,Lebanon,South Aidan,-27.699558415654522,155.99275395964827,4881235323
120.162.231.106,PS,Macedonia,Brekkeville,87.94252655171229,178.74297401073056,1681850007
30.231.246.17,EU,Iraq,Watersstad,latitude,longitude,0
58.184.166.30,BM,Namibia,Pollichbury,16.893332733761,-79.60153528286425,9926524695
176.84.156.238,SM,Central African Republic,East Gaylordland,66.81410203650077,61.341381733218725,2875915729
28.120.27.35,MM,Guyana,Wintheiserside,16.026296435758837,87.65145805049065,6794503968
131.216.254.13,SC,Qatar,VonRuedenmouth,-85.91566379598949,165.1139495430332,7198102971
196.41.19.101,KG,Bhutan,Abernathyport,,,0
117.11.192.132,RW,United Kingdom,Beatriceport,50.69079030585243,69.91517712313271,5038591168
133.115.251.143,UY,Malta,Rodgerfurt,-78.25139570568481,66.51989149586487,9952823323
107.23.121.64,UM,Chile,Lake Maximus,88.38257093032871,-20.62767645974185,9961994684
216.148.73.55,RU,Libyan Arab Jamahiriya,Joshuafort,9.43379645998165,80.95042005485573,6808674942
81.115.219.203,OM,Mauritius,Monahanstad,74.56802851333609,-43.96282831258168,5820050851
112.103.42.60,RU,Mexico,Lake Daytonbury,24.191603795853766,37.45183758658359,5439660058
5.42.177.67,EH,Somalia,Lake Effie,-62.95491271740191,169.97064741788313,9135839563
106.41.229.246,AL,Bosnia and Herzegovina,New Tyreefurt,40.138947767634676,35.99598150755176,2487354055
79.82.131.21,BO,Isle of Man,Zulauffort,,,0
47.69.234.2,42,Vietnam,New Judy,26.660636147874115,-165.29951081373812,0
121.13.226.193,BZ,Bangladesh,East Henriette,-58.86335528794444,170.70009960447948,2275572840
158.192.172.91,UM,Uganda,Lake Eloisafort,51.548977597485816,92.44459265430572,3885845949
103.83.43.178,AQ,Morocco,O'Harastad,24.71109028445305,-65.23910741544351,4071911718
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614893880432,174.57963021150817,3326541859
195.176.191.230,VU,Niger,Alfview,-54.38526042517144,-143.5496843888933,1863969642
38.161.74.97,YE,France,Maryburgh,12.265573345468084,134.52655902492438,3390525912
125.82.173.82,MU,Kuwait,Gloriaport,51.32877186839224,-132.70964256152453,2863414240
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614893880432,174.57963021150817,3326541859
177.195.7.187,VG,Heard Island and McDonald Islands,Nicoleside,-16.35859770361371,73.540105172241,8821085695
15.190.56.37,NO,Aruba,Hellerside,-4.462978067108182,-156.23528306292047,1012474019
63.98.122.116,PA,Seychelles,Brakuschester,-73.95421063510412,32.99819744930966,2881306490
163.101.20.235,TD,Uzbekistan,South Kieraville,-16.047673044461973,133.75791927078984,5638972780
186.193.227.65,TD,Luxembourg,Gerholdton,10.849249716383738,-167.40104392160052,3856080098
212.41.58.179,NU,Timor-Leste,North Cathyborough,66.49895976137586,-81.69729059317532,8230054548
115.229.188.251,ZA,Solomon Islands,Nyasiafort,-85.9771047470447,162.10056505968384,2249179506
187.212.209.152,CO,Zambia,Ratkestad,37.204979865642656,-82.22800202566512,7454475646
152.139.115.67,RW,Russian Federation,Cronatown,15.815170175802876,-18.20092694638086,6775968758
181.231.183.23,RW,Lao People's Democratic Republic,North Anderson,16.087003956885667,45.61086511268158,6927818993
not your IP address,SR,Gibraltar,Wisozkchester,-40.97185466801009,-95.88038661081191,9075181518
24.38.14.113,PM,San Marino,Port Burnice,-67.08705861753404,24.949407842511306,9899852527
